,short_name,long_name,overall,age,dob,height_cm,weight_kg,club_position,Position,club_name,league_name,nationality_name,club_jersey_number,preferred_foot,weak_foot,skill_moves,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking,skill,movement,power,mentality
0,L. Messi,Lionel Andrés Messi Cuccittini,93,34,1987-06-24,170,72,RW,Forward,Paris Saint-Germain,French Ligue 1,Argentina,30,Left,4,4,Finesse Shot  Long Shot Taker (AI)  Playmaker (AI)  Outside Foot Shot  One Club Player  Chip Shot (AI)  Technical Dribbler (AI),85,92,91,95,34,65,85.8,94,90.2,77.8,73.8333333333333
1,R. Lewandowski,Robert Lewandowski,92,32,1988-08-21,185,81,ST,Forward,FC Bayern München,German 1. Bundesliga,Poland,9,Right,4,4,Solid Player  Finesse Shot  Outside Foot Shot  Chip Shot (AI),78,92,79,86,44,82,86,81.4,81.6,84.8,80.6666666666667
2,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,91,36,1985-02-05,187,83,ST,Forward,Manchester United,English Premier League,Portugal,7,Right,4,5,Power Free-Kick  Flair  Long Shot Taker (AI)  Speed Dribbler (AI)  Outside Foot Shot,87,94,80,88,34,75,87.6,83.6,85.4,87.2,74.3333333333333
3,Neymar Jr,Neymar da Silva Santos Júnior,91,29,1992-02-05,175,68,LW,Forward,Paris Saint-Germain,French Ligue 1,Brazil,10,Right,5,5,Injury Prone  Flair  Speed Dribbler (AI)  Playmaker (AI)  Outside Foot Shot  Technical Dribbler (AI),91,83,86,94,37,63,80.6,89.2,90.2,71.8,77
4,K. De Bruyne,Kevin De Bruyne,91,30,1991-06-28,181,70,RCM,Midfield,Manchester City,English Premier League,Belgium,17,Right,5,4,Injury Prone  Leadership  Early Crosser  Long Passer (AI)  Long Shot Taker (AI)  Playmaker (AI)  Outside Foot Shot,76,86,93,88,64,78,81.4,88,80,81.6,82.6666666666667
5,J. Oblak,Jan Oblak,91,28,1993-01-07,188,87,GK,GK,Atlético de Madrid,Spain Primera Division,Slovenia,13,Right,3,1,GK Long Throw  Comes For Crosses,73.8988941548183,67.4723538704581,72.8862559241706,76.4881516587678,62.7219589257504,73.2922590837283,19,21.8,61.4,53.6,34.6666666666667
6,K. Mbappé,Kylian Mbappé Lottin,91,22,1998-12-20,182,73,ST,Forward,Paris Saint-Germain,French Ligue 1,France,7,Right,4,5,Flair  Speed Dribbler (AI)  Outside Foot Shot  Technical Dribbler (AI),97,88,80,92,36,77,82.2,80.8,92.4,82.2,73.5
7,M. Neuer,Manuel Peter Neuer,90,35,1986-03-27,193,93,GK,GK,FC Bayern München,German 1. Bundesliga,Germany,1,Right,4,1,Leadership  GK Long Throw  Rushes Out Of Goal  Comes For Crosses,73.8988941548183,67.4723538704581,72.8862559241706,76.4881516587678,62.7219589257504,73.2922590837283,24.8,33.8,57.4,56.8,43
8,M. ter Stegen,Marc-André ter Stegen,90,29,1992-04-30,187,85,GK,GK,FC Barcelona,Spain Primera Division,Germany,1,Right,4,1,Rushes Out Of Goal  Comes For Crosses  Saves with Feet,73.8988941548183,67.4723538704581,72.8862559241706,76.4881516587678,62.7219589257504,73.2922590837283,23.6,28.8,51.2,53.6,40.1666666666667
9,H. Kane,Harry Kane,90,27,1993-07-28,188,89,ST,Forward,Tottenham Hotspur,English Premier League,England,10,Right,5,3,Leadership  Long Passer (AI)  Long Shot Taker (AI)  Playmaker (AI)  Outside Foot Shot,70,91,83,83,47,83,86.6,80.4,74.4,84.8,81.1666666666667
10,N. Kanté,N'Golo Kanté,90,30,1991-03-29,168,70,RCM,Midfield,Chelsea,English Premier League,France,7,Right,3,2,Leadership,78,66,75,82,87,83,65,67.4,84.8,76.4,78.6666666666667
11,S. Mané,Sadio Mané,89,29,1992-04-10,175,69,LW,Forward,Liverpool,English Premier League,Senegal,10,Right,4,4,Flair  Speed Dribbler (AI),91,83,80,89,44,77,81.4,78,91,81.4,73.1666666666667
